"Kod";"Nazwa";"nowotwory ogółem;2022;[-]";"nowotwory ogółem;2023;[-]";"nowotwory ogółem;2024;[-]";
0000000;"POLSKA";105945;109226;110296;
0200000;"DOLNOŚLĄSKIE";8502;8561;8656;
0400000;"KUJAWSKO-POMORSKIE";6134;6393;6519;
0600000;"LUBELSKIE";5414;5732;5644;
0800000;"LUBUSKIE";2583;2795;2821;
1000000;"ŁÓDZKIE";7301;7499;7864;
1200000;"MAŁOPOLSKIE";9138;9324;9286;
1400000;"MAZOWIECKIE";14705;15275;15077;
1600000;"OPOLSKIE";2841;2841;2802;
1800000;"PODKARPACKIE";4663;4747;4937;
2000000;"PODLASKIE";2946;3045;3155;
2200000;"POMORSKIE";6461;6514;6672;
2400000;"ŚLĄSKIE";13738;14283;14192;
2600000;"ŚWIĘTOKRZYSKIE";3699;3696;3835;
2800000;"WARMIŃSKO-MAZURSKIE";3783;3620;3821;
3000000;"WIELKOPOLSKIE";9210;9759;10013;
3200000;"ZACHODNIOPOMORSKIE";4827;5142;5002;
