"Kod";"Nazwa";"ogółem;ogółem;2022;[osoba]";"ogółem;ogółem;2023;[osoba]";"ogółem;ogółem;2024;[osoba]";"ogółem;mężczyźni;2022;[osoba]";"ogółem;mężczyźni;2023;[osoba]";"ogółem;mężczyźni;2024;[osoba]";"ogółem;kobiety;2022;[osoba]";"ogółem;kobiety;2023;[osoba]";"ogółem;kobiety;2024;[osoba]";"0-4;ogółem;2022;[osoba]";"0-4;ogółem;2023;[osoba]";"0-4;ogółem;2024;[osoba]";"0-4;mężczyźni;2022;[osoba]";"0-4;mężczyźni;2023;[osoba]";"0-4;mężczyźni;2024;[osoba]";"0-4;kobiety;2022;[osoba]";"0-4;kobiety;2023;[osoba]";"0-4;kobiety;2024;[osoba]";"5-9;ogółem;2022;[osoba]";"5-9;ogółem;2023;[osoba]";"5-9;ogółem;2024;[osoba]";"5-9;mężczyźni;2022;[osoba]";"5-9;mężczyźni;2023;[osoba]";"5-9;mężczyźni;2024;[osoba]";"5-9;kobiety;2022;[osoba]";"5-9;kobiety;2023;[osoba]";"5-9;kobiety;2024;[osoba]";"10-14;ogółem;2022;[osoba]";"10-14;ogółem;2023;[osoba]";"10-14;ogółem;2024;[osoba]";"10-14;mężczyźni;2022;[osoba]";"10-14;mężczyźni;2023;[osoba]";"10-14;mężczyźni;2024;[osoba]";"10-14;kobiety;2022;[osoba]";"10-14;kobiety;2023;[osoba]";"10-14;kobiety;2024;[osoba]";"15-19;ogółem;2022;[osoba]";"15-19;ogółem;2023;[osoba]";"15-19;ogółem;2024;[osoba]";"15-19;mężczyźni;2022;[osoba]";"15-19;mężczyźni;2023;[osoba]";"15-19;mężczyźni;2024;[osoba]";"15-19;kobiety;2022;[osoba]";"15-19;kobiety;2023;[osoba]";"15-19;kobiety;2024;[osoba]";"20-24;ogółem;2022;[osoba]";"20-24;ogółem;2023;[osoba]";"20-24;ogółem;2024;[osoba]";"20-24;mężczyźni;2022;[osoba]";"20-24;mężczyźni;2023;[osoba]";"20-24;mężczyźni;2024;[osoba]";"20-24;kobiety;2022;[osoba]";"20-24;kobiety;2023;[osoba]";"20-24;kobiety;2024;[osoba]";"25-29;ogółem;2022;[osoba]";"25-29;ogółem;2023;[osoba]";"25-29;ogółem;2024;[osoba]";"25-29;mężczyźni;2022;[osoba]";"25-29;mężczyźni;2023;[osoba]";"25-29;mężczyźni;2024;[osoba]";"25-29;kobiety;2022;[osoba]";"25-29;kobiety;2023;[osoba]";"25-29;kobiety;2024;[osoba]";"30-34;ogółem;2022;[osoba]";"30-34;ogółem;2023;[osoba]";"30-34;ogółem;2024;[osoba]";"30-34;mężczyźni;2022;[osoba]";"30-34;mężczyźni;2023;[osoba]";"30-34;mężczyźni;2024;[osoba]";"30-34;kobiety;2022;[osoba]";"30-34;kobiety;2023;[osoba]";"30-34;kobiety;2024;[osoba]";"35-39;ogółem;2022;[osoba]";"35-39;ogółem;2023;[osoba]";"35-39;ogółem;2024;[osoba]";"35-39;mężczyźni;2022;[osoba]";"35-39;mężczyźni;2023;[osoba]";"35-39;mężczyźni;2024;[osoba]";"35-39;kobiety;2022;[osoba]";"35-39;kobiety;2023;[osoba]";"35-39;kobiety;2024;[osoba]";"40-44;ogółem;2022;[osoba]";"40-44;ogółem;2023;[osoba]";"40-44;ogółem;2024;[osoba]";"40-44;mężczyźni;2022;[osoba]";"40-44;mężczyźni;2023;[osoba]";"40-44;mężczyźni;2024;[osoba]";"40-44;kobiety;2022;[osoba]";"40-44;kobiety;2023;[osoba]";"40-44;kobiety;2024;[osoba]";"45-49;ogółem;2022;[osoba]";"45-49;ogółem;2023;[osoba]";"45-49;ogółem;2024;[osoba]";"45-49;mężczyźni;2022;[osoba]";"45-49;mężczyźni;2023;[osoba]";"45-49;mężczyźni;2024;[osoba]";"45-49;kobiety;2022;[osoba]";"45-49;kobiety;2023;[osoba]";"45-49;kobiety;2024;[osoba]";"50-54;ogółem;2022;[osoba]";"50-54;ogółem;2023;[osoba]";"50-54;ogółem;2024;[osoba]";"50-54;mężczyźni;2022;[osoba]";"50-54;mężczyźni;2023;[osoba]";"50-54;mężczyźni;2024;[osoba]";"50-54;kobiety;2022;[osoba]";"50-54;kobiety;2023;[osoba]";"50-54;kobiety;2024;[osoba]";"55-59;ogółem;2022;[osoba]";"55-59;ogółem;2023;[osoba]";"55-59;ogółem;2024;[osoba]";"55-59;mężczyźni;2022;[osoba]";"55-59;mężczyźni;2023;[osoba]";"55-59;mężczyźni;2024;[osoba]";"55-59;kobiety;2022;[osoba]";"55-59;kobiety;2023;[osoba]";"55-59;kobiety;2024;[osoba]";"60-64;ogółem;2022;[osoba]";"60-64;ogółem;2023;[osoba]";"60-64;ogółem;2024;[osoba]";"60-64;mężczyźni;2022;[osoba]";"60-64;mężczyźni;2023;[osoba]";"60-64;mężczyźni;2024;[osoba]";"60-64;kobiety;2022;[osoba]";"60-64;kobiety;2023;[osoba]";"60-64;kobiety;2024;[osoba]";"65-69;ogółem;2022;[osoba]";"65-69;ogółem;2023;[osoba]";"65-69;ogółem;2024;[osoba]";"65-69;mężczyźni;2022;[osoba]";"65-69;mężczyźni;2023;[osoba]";"65-69;mężczyźni;2024;[osoba]";"65-69;kobiety;2022;[osoba]";"65-69;kobiety;2023;[osoba]";"65-69;kobiety;2024;[osoba]";"70 i więcej;ogółem;2022;[osoba]";"70 i więcej;ogółem;2023;[osoba]";"70 i więcej;ogółem;2024;[osoba]";"70 i więcej;mężczyźni;2022;[osoba]";"70 i więcej;mężczyźni;2023;[osoba]";"70 i więcej;mężczyźni;2024;[osoba]";"70 i więcej;kobiety;2022;[osoba]";"70 i więcej;kobiety;2023;[osoba]";"70 i więcej;kobiety;2024;[osoba]";"70-74;ogółem;2022;[osoba]";"70-74;ogółem;2023;[osoba]";"70-74;ogółem;2024;[osoba]";"70-74;mężczyźni;2022;[osoba]";"70-74;mężczyźni;2023;[osoba]";"70-74;mężczyźni;2024;[osoba]";"70-74;kobiety;2022;[osoba]";"70-74;kobiety;2023;[osoba]";"70-74;kobiety;2024;[osoba]";"75-79;ogółem;2022;[osoba]";"75-79;ogółem;2023;[osoba]";"75-79;ogółem;2024;[osoba]";"75-79;mężczyźni;2022;[osoba]";"75-79;mężczyźni;2023;[osoba]";"75-79;mężczyźni;2024;[osoba]";"75-79;kobiety;2022;[osoba]";"75-79;kobiety;2023;[osoba]";"75-79;kobiety;2024;[osoba]";"80-84;ogółem;2022;[osoba]";"80-84;ogółem;2023;[osoba]";"80-84;ogółem;2024;[osoba]";"80-84;mężczyźni;2022;[osoba]";"80-84;mężczyźni;2023;[osoba]";"80-84;mężczyźni;2024;[osoba]";"80-84;kobiety;2022;[osoba]";"80-84;kobiety;2023;[osoba]";"80-84;kobiety;2024;[osoba]";"85 i więcej;ogółem;2022;[osoba]";"85 i więcej;ogółem;2023;[osoba]";"85 i więcej;ogółem;2024;[osoba]";"85 i więcej;mężczyźni;2022;[osoba]";"85 i więcej;mężczyźni;2023;[osoba]";"85 i więcej;mężczyźni;2024;[osoba]";"85 i więcej;kobiety;2022;[osoba]";"85 i więcej;kobiety;2023;[osoba]";"85 i więcej;kobiety;2024;[osoba]";"0-14;ogółem;2022;[osoba]";"0-14;ogółem;2023;[osoba]";"0-14;ogółem;2024;[osoba]";"0-14;mężczyźni;2022;[osoba]";"0-14;mężczyźni;2023;[osoba]";"0-14;mężczyźni;2024;[osoba]";"0-14;kobiety;2022;[osoba]";"0-14;kobiety;2023;[osoba]";"0-14;kobiety;2024;[osoba]";
0000000;"POLSKA";37766327;37636508;37489087;18249321;18182399;18107027;19517006;19454109;19382060;1752212;1631988;1509254;899638;836905;774178;852574;795083;735076;1972048;1983572;1970465;1012405;1018865;1012261;959643;964707;958204;2091784;2051068;2011790;1073629;1053295;1033597;1018155;997773;978193;1827410;1909096;1990294;936422;978040;1018888;890988;931056;971406;1828431;1786731;1763280;932776;911446;900352;895655;875285;862928;2176867;2083051;1997844;1106052;1058660;1016006;1070815;1024391;981838;2657137;2573966;2487627;1349411;1307602;1262427;1307726;1266364;1225200;3103931;2990800;2881934;1571659;1514075;1458638;1532272;1476725;1423296;3121806;3177592;3196615;1575433;1603314;1612791;1546373;1574278;1583824;2864415;2929547;2990872;1437293;1469913;1501033;1427122;1459634;1489839;2364564;2443343;2535721;1174238;1213902;1261045;1190326;1229441;1274676;2208012;2182033;2174407;1077178;1066140;1062894;1130834;1115893;1111513;2444255;2343827;2253934;1151513;1107554;1068975;1292742;1236273;1184959;2513554;2519590;2507064;1129239;1135411;1132995;1384315;1384179;1374069;4839901;5030304;5217986;1822435;1907277;1990947;3017466;3123027;3227039;2053284;2108909;2156017;866095;891584;914244;1187189;1217325;1241773;1186305;1320176;1454272;462231;518193;573655;724074;801983;880617;801434;784361;773117;272513;269639;268754;528921;514722;504363;798878;816858;834580;221596;227861;234294;577282;588997;600286;5816044;5666628;5491509;2985672;2909065;2820036;2830372;2757563;2671473;
0200000;"DOLNOŚLĄSKIE";2888033;2879271;2868242;1388123;1383490;1377851;1499910;1495781;1490391;127407;119042;110098;65576;61170;56544;61831;57872;53554;143080;144155;142507;73239;73756;73118;69841;70399;69389;150447;147048;144925;77182;75471;74415;73265;71577;70510;127857;135588;142342;65451;69299;72623;62406;66289;69719;130007;124697;122113;65670;63145;61932;64337;61552;60181;170509;162521;153683;85430;81319;77099;85079;81202;76584;208716;203314;197789;105344;102439;99252;103372;100875;98537;249141;238969;229833;125920;120674;115909;123221;118295;113924;249748;255679;258476;126082;129260;130614;123666;126419;127862;222649;229458;235368;112305;115604;118621;110344;113854;116747;172654;181140;190466;86318;90613;95299;86336;90527;95167;158285;155294;154746;77008;75817;75780;81277;79477;78966;189218;177765;167979;88306;83056;78749;100912;94709;89230;205650;204681;201409;91584;91400;90210;114066;113281;111199;382665;399920;416508;142708;150467;157686;239957;249453;258822;173679;177604;180518;72911;74519;75765;100768;103085;104753;88210;102493;116404;34605;40657;46265;53605;61836;70139;58165;56270;55067;18894;18657;18732;39271;37613;36335;62611;63553;64519;16298;16634;16924;46313;46919;47595;420934;410245;397530;215997;210397;204077;204937;199848;193453;
0400000;"KUJAWSKO-POMORSKIE";2006876;1996003;1984479;971048;965401;959437;1035828;1030602;1025042;89207;82315;75012;46033;42293;38552;43174;40022;36460;102839;102684;101595;52893;52889;52426;49946;49795;49169;113025;110075;106989;57936;56493;55013;55089;53582;51976;99872;104256;108738;51202;53285;55487;48670;50971;53251;98630;96803;95714;50603;49630;48971;48027;47173;46743;113500;108614;104382;58008;55763;53548;55492;52851;50834;135914;131522;126764;69245;66930;64605;66669;64592;62159;161828;154774;147857;82042;78536;74960;79786;76238;72897;163099;165921;167075;82549;83988;84560;80550;81933;82515;152714;154831;157379;76544;77570;78899;76170;77261;78480;128869;133019;137220;63666;65876;68215;65203;67143;69005;120090;118650;118448;58083;57550;57374;62007;61100;61074;134658;128591;123390;63558;60669;58347;71100;67922;65043;137233;138236;137643;62210;62767;62657;75023;75469;74986;255398;265712;276273;96476;101162;105823;158922;164550;170450;111967;114166;115797;47233;48429;49316;64734;65737;66481;62928;70720;79597;24503;27742;31334;38425;42978;48263;40812;40209;39349;13964;13889;13723;26848;26320;25626;39691;40617;41530;10776;11102;11450;28915;29515;30080;305071;295074;283596;156862;151675;145991;148209;143399;137605;
0600000;"LUBELSKIE";2024637;2011047;1996440;980169;973411;966128;1044468;1037636;1030312;89018;82024;75117;45973;42253;38749;43045;39771;36368;101336;101553;100719;51768;51946;51669;49568;49607;49050;111626;108795;105899;56944;55647;54157;54682;53148;51742;102546;105264;108427;52467;53736;55320;50079;51528;53107;104535;102664;100562;53875;52790;51653;50660;49874;48909;114524;110894;107649;59673;57638;55909;54851;53256;51740;134529;129106;123839;70088;67670;64957;64441;61436;58882;157320;150498;143966;81008;77572;74311;76312;72926;69655;160195;162459;162636;81901;83230;83202;78294;79229;79434;148489;150507;152346;75197;76263;77394;73292;74244;74952;129430;132599;136065;64440;65843;67752;64990;66756;68313;124637;122859;122205;60858;60094;59711;63779;62765;62494;133904;129249;125064;63245;61235;59324;70659;68014;65740;138337;138355;137960;62191;62471;62670;76146;75884;75290;274211;284221;293986;100541;105023;109350;173670;179198;184636;111597;115159;118119;46421;48197;49652;65176;66962;68467;69103;75468;81085;26126;28705;30993;42977;46763;50092;47127;46356;46707;15707;15511;15788;31420;30845;30919;46384;47238;48075;12287;12610;12917;34097;34628;35158;301980;292372;281735;154685;149846;144575;147295;142526;137160;
0800000;"LUBUSKIE";979976;975023;969819;475717;473169;470471;504259;501854;499348;41595;38519;35775;21044;19528;18294;20551;18991;17481;50462;50182;49196;26042;25894;25305;24420;24288;23891;55566;54080;52595;28491;27762;27023;27075;26318;25572;48908;51467;53752;25009;26347;27454;23899;25120;26298;46188;45172;44972;23679;23119;22937;22509;22053;22035;52755;50739;48890;27109;26137;25218;25646;24602;23672;64996;61934;59219;33322;31762;30421;31674;30172;28798;81576;77473;73108;41380;39274;37046;40196;38199;36062;84539;86007;86056;42840;43601;43583;41699;42406;42473;76655;78703;80658;38943;39843;40818;37712;38860;39840;60884;63482;66689;30427;31868;33552;30457;31614;33137;56713;55802;55240;27833;27380;27126;28880;28422;28114;66587;62701;59521;31484;29620;28289;35103;33081;31232;70033;70241;69771;31601;31840;31692;38432;38401;38079;122519;128521;134377;46513;49194;51713;76006;79327;82664;57356;58507;59374;24507;24951;25359;32849;33556;34015;28941;33935;38889;11472;13625;15654;17469;20310;23235;18093;17673;17341;5865;5868;5806;12228;11805;11535;18129;18406;18773;4669;4750;4894;13460;13656;13879;147623;142781;137566;75577;73184;70622;72046;69597;66944;
1000000;"ŁÓDZKIE";2378483;2362519;2345924;1133290;1125675;1117687;1245193;1236844;1228237;102237;95452;88874;52288;48857;45591;49949;46595;43283;114809;115277;113845;59013;59423;58393;55796;55854;55452;125457;122468;119237;64517;62878;61273;60940;59590;57964;110619;115070;119573;56785;59052;61480;53834;56018;58093;110279;108220;107162;56517;55527;54952;53762;52693;52210;129919;123872;119031;66632;63491;61108;63287;60381;57923;154018;149446;144523;78920;76680;74188;75098;72766;70335;183150;174165;166387;93260;88733;84670;89890;85432;81717;192382;194147;193536;97498;98311;98199;94884;95836;95337;181676;185208;187739;90668;92606;93846;91008;92602;93893;153458;157555;162199;75429;77464;79876;78029;80091;82323;141340;140181;140361;67580;67182;67390;73760;72999;72971;161166;152675;145265;74074;70448;67293;87092;82227;77972;173570;172344;170307;76077;75635;74921;97493;96709;95386;344403;356439;367885;124032;129388;134507;220371;227051;233378;144704;147490;150247;58813;60300;61755;85891;87190;88492;89826;99027;107741;33560;37241;40639;56266;61786;67102;54471;54079;53495;17565;17605;17534;36906;36474;35961;55402;55843;56402;14094;14242;14579;41308;41601;41823;342503;333197;321956;175818;171158;165257;166685;162039;156699;
1200000;"MAŁOPOLSKIE";3429014;3429632;3429084;1663091;1663129;1662575;1765923;1766503;1766509;175623;165446;154881;90215;84708;79251;85408;80738;75630;188614;191185;192084;97199;98647;98922;91415;92538;93162;194346;191940;189112;99741;98718;97398;94605;93222;91714;168574;175598;182865;86179;89658;93207;82395;85940;89658;178649;172768;168928;90424;87630;85972;88225;85138;82956;218362;209664;200827;109567;105167;100730;108795;104497;100097;263005;258321;253311;132641;129978;127446;130364;128343;125865;286407;280556;274679;143998;141463;138415;142409;139093;136264;276280;282344;286849;138842;141513;143564;137438;140831;143285;250064;256920;262101;124684;128167;131035;125380;128753;131066;211594;217119;224497;104881;107340;110977;106713;109779;113520;197986;197262;197409;97382;97163;97074;100604;100099;100335;207082;201557;197110;98602;96311;94376;108480;105246;102734;200739;202831;203775;91541;92824;93479;109198;110007;110296;411689;426121;440656;157195;163842;170729;254494;262279;269927;163396;168531;173217;69820;72295;74878;93576;96236;98339;103830;112517;120148;41069;44677;47860;62761;67840;72288;71430;70113;70063;25083;24970;25326;46347;45143;44737;73033;74960;77228;21223;21900;22665;51810;53060;54563;558583;548571;536077;287155;282073;275571;271428;266498;260506;
1400000;"MAZOWIECKIE";5510612;5510527;5508322;2638241;2638474;2637677;2872371;2872053;2870645;280703;264296;247259;143984;135439;126617;136719;128857;120642;306831;309938;309272;157439;159227;158854;149392;150711;150418;314268;310962;307791;161368;159457;158206;152900;151505;149585;268097;281882;295084;137365;144729;151254;130732;137153;143830;260290;255159;253540;132466;129978;129332;127824;125181;124208;325198;309721;295552;161760;154626;148051;163438;155095;147501;405271;395836;386270;200323;195353;190246;204948;200483;196024;469610;456154;443476;233638;226716;220240;235972;229438;223236;470690;479068;481934;233661;237441;239020;237029;241627;242914;430375;443117;454614;213289;219460;224843;217086;223657;229771;333328;349797;368539;164953;173189;182144;168375;176608;186395;292630;292067;294528;141983;141898;143460;150647;150169;151068;318956;305007;293433;148190;142396;137714;170766;162611;155719;347745;344860;338824;153295;152593;150295;194450;192267;188529;686620;712663;738206;254527;265972;277401;432093;446691;460805;279156;289188;298644;115924;120369;124628;163232;168819;174016;169678;186288;201514;64840;71618;78146;104838;114670;123368;113454;110991;110636;38248;37931;38189;75206;73060;72447;124332;126196;127412;35515;36054;36438;88817;90142;90974;901802;885196;864322;462791;454123;443677;439011;431073;420645;
1600000;"OPOLSKIE";942441;936725;930296;455521;452531;449412;486920;484194;480884;39215;36623;33571;20110;18680;17245;19105;17943;16326;44614;44849;44419;23021;23109;22799;21593;21740;21620;46996;46219;45597;24037;23718;23410;22959;22501;22187;41743;43224;44916;21477;22237;22991;20266;20987;21925;43046;41804;40888;21952;21296;20921;21094;20508;19967;49994;47787;45946;25429;24289;23443;24565;23498;22503;64542;61193;57706;32791;31119;29355;31751;30074;28351;77202;74239;71412;38618;37216;35923;38584;37023;35489;77218;78601;78766;38721;39355;39404;38497;39246;39362;72259;73398;74799;36419;36916;37476;35840;36482;37323;63921;64858;66015;31751;32185;32738;32170;32673;33277;63339;62275;61703;31671;31168;30848;31668;31107;30855;67730;66120;64215;32698;32033;31319;35032;34087;32896;64012;64600;64984;29177;29630;29909;34835;34970;35075;126610;130935;135359;47649;49580;51631;78961;81355;83728;52885;54074;55106;22349;22886;23478;30536;31188;31628;28752;32143;35646;11311;12695;14092;17441;19448;21554;23452;22174;21180;7883;7569;7377;15569;14605;13803;21521;22544;23427;6106;6430;6684;15415;16114;16743;130825;127691;123587;67168;65507;63454;63657;62184;60133;
1800000;"PODKARPACKIE";2079098;2071676;2062997;1017624;1013946;1009431;1061474;1057730;1053566;98431;90827;83440;50762;46986;43080;47669;43841;40360;109528;110552;110781;56168;56652;56949;53360;53900;53832;117030;115090;112475;60031;59017;57649;56999;56073;54826;106216;109249;112529;54462;56001;57690;51754;53248;54839;110410;107934;106211;56749;55437;54423;53661;52497;51788;121873;117574;114031;63327;60989;59180;58546;56585;54851;149340;143273;136546;77069;74116;70617;72271;69157;65929;168115;162918;158110;86085;83541;81203;82030;79377;76907;166628;169479;170715;84697;86157;86760;81931;83322;83955;154016;156889;159580;77469;79133;80748;76547;77756;78832;133076;136273;140211;66575;68288;70284;66501;67985;69927;127827;126262;125048;63179;62206;61397;64648;64056;63651;134641;131972;128794;64929;63913;62513;69712;68059;66281;128015;129403;130524;58867;59614;60364;69148;69789;70160;253952;263981;274002;97255;101896;106574;156697;162085;167428;103052;106714;109817;44535;46457;48071;58517;60257;61746;61939;68450;74529;24532;27179;29835;37407;41271;44694;43986;42630;42390;15319;14984;15008;28667;27646;27382;44975;46187;47266;12869;13276;13660;32106;32911;33606;324989;316469;306696;166961;162655;157678;158028;153814;149018;
