"Kod";"Nazwa";"45-49;kobiety;2024;[osoba]";"50-54;kobiety;2024;[osoba]";"55-59;kobiety;2024;[osoba]";"60-64;kobiety;2024;[osoba]";"65-69;kobiety;2024;[osoba]";"70-74;kobiety;2024;[osoba]";
0200000;"DOLNOŚLĄSKIE";116747;95167;78966;89230;111199;104753;
0400000;"KUJAWSKO-POMORSKIE";78480;69005;61074;65043;74986;66481;
0600000;"LUBELSKIE";74952;68313;62494;65740;75290;68467;
0800000;"LUBUSKIE";39840;33137;28114;31232;38079;34015;
1000000;"ŁÓDZKIE";93893;82323;72971;77972;95386;88492;
1200000;"MAŁOPOLSKIE";131066;113520;100335;102734;110296;98339;
1400000;"MAZOWIECKIE";229771;186395;151068;155719;188529;174016;
1600000;"OPOLSKIE";37323;33277;30855;32896;35075;31628;
1800000;"PODKARPACKIE";78832;69927;63651;66281;70160;61746;
2000000;"PODLASKIE";41887;38443;36539;39423;41617;34044;
2200000;"POMORSKIE";92151;77462;65090;68686;79764;72832;
2400000;"ŚLĄSKIE";173664;149503;136052;146458;168598;152261;
2600000;"ŚWIĘTOKRZYSKIE";44651;39801;35831;39721;46288;42356;
2800000;"WARMIŃSKO-MAZURSKIE";52394;45687;41816;46677;52477;44590;
3000000;"WIELKOPOLSKIE";137677;116941;99378;104517;120136;108097;
3200000;"ZACHODNIOPOMORSKIE";66511;55775;47279;52630;66189;59656;
