"Kod";"Nazwa";"ogółem;ogółem;2024;[osoba]";
0200000;"DOLNOŚLĄSKIE";2868242;
0400000;"KUJAWSKO-POMORSKIE";1984479;
0600000;"LUBELSKIE";1996440;
0800000;"LUBUSKIE";969819;
1000000;"ŁÓDZKIE";2345924;
1200000;"MAŁOPOLSKIE";3429084;
1400000;"MAZOWIECKIE";5508322;
1600000;"OPOLSKIE";930296;
1800000;"PODKARPACKIE";2062997;
2000000;"PODLASKIE";1132641;
2200000;"POMORSKIE";2359493;
2400000;"ŚLĄSKIE";4291441;
2600000;"ŚWIĘTOKRZYSKIE";1157991;
2800000;"WARMIŃSKO-MAZURSKIE";1349172;
3000000;"WIELKOPOLSKIE";3479986;
3200000;"ZACHODNIOPOMORSKIE";1622760;
