"Kod";"Nazwa";"kobiety;0;2010;[lata]";"kobiety;0;2011;[lata]";"kobiety;0;2012;[lata]";"kobiety;0;2013;[lata]";"kobiety;0;2014;[lata]";"kobiety;0;2015;[lata]";"kobiety;0;2016;[lata]";"kobiety;0;2017;[lata]";"kobiety;0;2018;[lata]";"kobiety;0;2019;[lata]";"kobiety;0;2020;[lata]";"kobiety;0;2021;[lata]";"kobiety;0;2022;[lata]";"kobiety;0;2023;[lata]";"kobiety;0;2024;[lata]";"kobiety;0;2025;[lata]";"kobiety;15;2010;[lata]";"kobiety;15;2011;[lata]";"kobiety;15;2012;[lata]";"kobiety;15;2013;[lata]";"kobiety;15;2014;[lata]";"kobiety;15;2015;[lata]";"kobiety;15;2016;[lata]";"kobiety;15;2017;[lata]";"kobiety;15;2018;[lata]";"kobiety;15;2019;[lata]";"kobiety;15;2020;[lata]";"kobiety;15;2021;[lata]";"kobiety;15;2022;[lata]";"kobiety;15;2023;[lata]";"kobiety;15;2024;[lata]";"kobiety;15;2025;[lata]";"kobiety;30;2010;[lata]";"kobiety;30;2011;[lata]";"kobiety;30;2012;[lata]";"kobiety;30;2013;[lata]";"kobiety;30;2014;[lata]";"kobiety;30;2015;[lata]";"kobiety;30;2016;[lata]";"kobiety;30;2017;[lata]";"kobiety;30;2018;[lata]";"kobiety;30;2019;[lata]";"kobiety;30;2020;[lata]";"kobiety;30;2021;[lata]";"kobiety;30;2022;[lata]";"kobiety;30;2023;[lata]";"kobiety;30;2024;[lata]";"kobiety;30;2025;[lata]";"kobiety;45;2010;[lata]";"kobiety;45;2011;[lata]";"kobiety;45;2012;[lata]";"kobiety;45;2013;[lata]";"kobiety;45;2014;[lata]";"kobiety;45;2015;[lata]";"kobiety;45;2016;[lata]";"kobiety;45;2017;[lata]";"kobiety;45;2018;[lata]";"kobiety;45;2019;[lata]";"kobiety;45;2020;[lata]";"kobiety;45;2021;[lata]";"kobiety;45;2022;[lata]";"kobiety;45;2023;[lata]";"kobiety;45;2024;[lata]";"kobiety;45;2025;[lata]";"kobiety;60;2010;[lata]";"kobiety;60;2011;[lata]";"kobiety;60;2012;[lata]";"kobiety;60;2013;[lata]";"kobiety;60;2014;[lata]";"kobiety;60;2015;[lata]";"kobiety;60;2016;[lata]";"kobiety;60;2017;[lata]";"kobiety;60;2018;[lata]";"kobiety;60;2019;[lata]";"kobiety;60;2020;[lata]";"kobiety;60;2021;[lata]";"kobiety;60;2022;[lata]";"kobiety;60;2023;[lata]";"kobiety;60;2024;[lata]";"kobiety;60;2025;[lata]";"kobiety;65;2010;[lata]";"kobiety;65;2011;[lata]";"kobiety;65;2012;[lata]";"kobiety;65;2013;[lata]";"kobiety;65;2014;[lata]";"kobiety;65;2015;[lata]";"kobiety;65;2016;[lata]";"kobiety;65;2017;[lata]";"kobiety;65;2018;[lata]";"kobiety;65;2019;[lata]";"kobiety;65;2020;[lata]";"kobiety;65;2021;[lata]";"kobiety;65;2022;[lata]";"kobiety;65;2023;[lata]";"kobiety;65;2024;[lata]";"kobiety;65;2025;[lata]";
0000000;"POLSKA";61,6;61,9;62,1;62,1;62,2;62,4;63,0;63,1;63,3;63,3;63,1;63,1;63,7;64,6;65,32;;47,5;47,7;47,9;48,0;48,1;48,3;48,9;49,0;49,2;49,2;49,1;49,0;49,7;50,5;51,14;;33,6;33,7;33,9;34,1;34,1;34,3;34,9;35,1;35,3;35,3;35,1;35,1;35,7;36,6;37,03;;20,8;20,9;21,0;21,2;21,2;21,4;22,0;22,2;22,3;22,3;22,1;22,1;22,6;23,4;23,76;;10,3;10,5;10,6;10,6;10,6;10,8;11,2;11,4;11,4;11,4;11,2;11,2;11,5;12,1;12,37;;7,5;7,7;7,8;7,8;7,8;8,0;8,4;8,5;8,5;8,5;8,3;8,2;8,6;9,1;9,26;;
0200000;"DOLNOŚLĄSKIE";60,7;61,1;61,7;62,2;62,2;62,3;62,7;62,9;63,3;63,1;62,9;63,0;64,3;65,7;65,59;;46,8;47,2;47,8;48,2;48,2;48,2;48,7;48,9;49,2;49,0;48,8;48,9;50,1;51,5;51,39;;32,9;33,3;33,9;34,2;34,2;34,2;34,7;35,0;35,2;35,1;34,9;34,9;36,1;37,4;37,35;;20,2;20,6;20,9;21,2;21,1;21,2;21,7;22,0;22,2;22,1;21,8;21,9;23,0;24,1;24,25;;9,9;10,1;10,4;10,4;10,3;10,4;10,9;11,1;11,4;11,3;11,0;11,1;11,8;12,7;13,07;;7,1;7,4;7,5;7,6;7,5;7,6;8,0;8,2;8,5;8,4;8,1;8,0;8,9;9,6;10,01;;
0400000;"KUJAWSKO-POMORSKIE";61,5;62,0;61,9;62,0;62,3;62,9;63,3;63,5;63,8;63,5;63,4;62,6;63,1;64,3;65,21;;47,5;48,1;48,0;48,1;48,4;48,8;49,3;49,6;49,7;49,5;49,2;48,6;49,2;50,3;50,95;;33,6;34,2;34,1;34,3;34,5;35,0;35,4;35,7;35,7;35,5;35,2;34,7;35,3;36,2;36,79;;20,9;21,3;21,2;21,3;21,6;22,1;22,5;22,6;22,6;22,4;22,2;21,7;22,2;23,0;23,49;;10,4;10,7;10,6;10,7;10,9;11,4;11,7;11,7;11,7;11,6;11,4;10,9;11,2;11,8;12,17;;7,7;7,9;7,7;7,9;8,1;8,6;8,8;8,8;8,8;8,7;8,5;8,0;8,3;8,7;9,10;;
0600000;"LUBELSKIE";63,2;62,8;62,4;61,7;61,5;61,3;62,3;62,6;62,8;62,9;62,3;62,1;62,3;62,9;63,57;;49,1;48,7;48,3;47,7;47,3;47,1;48,0;48,6;48,8;48,9;48,3;48,1;48,3;48,8;49,63;;35,0;34,8;34,4;33,7;33,3;33,3;34,2;34,8;34,9;35,0;34,4;34,3;34,5;35,0;35,73;;22,0;21,8;21,5;20,9;20,6;20,7;21,5;22,1;22,0;22,1;21,5;21,5;21,7;22,2;22,76;;11,1;10,9;10,8;10,3;10,3;10,4;11,0;11,4;11,3;11,3;10,8;10,7;10,9;11,3;11,72;;8,1;8,0;7,9;7,5;7,5;7,6;8,2;8,5;8,4;8,4;8,0;8,2;8,0;8,4;8,71;;
0800000;"LUBUSKIE";60,1;60,2;60,5;61,1;61,2;61,5;62,2;62,9;63,8;64,2;64,6;64,5;65,1;66,2;66,21;;46,2;46,2;46,5;47,1;47,1;47,3;48,2;48,8;49,7;50,1;50,4;50,2;50,9;51,8;51,93;;32,3;32,3;32,6;33,1;33,3;33,4;34,2;34,8;35,7;36,2;36,3;36,1;36,8;37,7;37,83;;19,6;19,7;20,0;20,3;20,4;20,6;21,4;21,9;22,6;23,0;23,2;23,0;23,6;24,3;24,55;;9,4;9,5;9,9;10,0;9,9;10,1;10,7;11,2;11,7;12,0;12,1;11,9;12,5;13,0;13,12;;6,7;6,9;7,2;7,2;7,2;7,3;7,9;8,3;8,7;9,1;9,1;8,1;9,5;9,8;9,97;;
1000000;"ŁÓDZKIE";61,0;60,9;60,9;61,3;62,5;62,9;63,8;62,9;62,7;62,7;62,5;62,6;62,4;63,0;63,62;;46,8;46,6;46,7;47,2;48,4;48,9;49,7;48,8;48,6;48,6;48,4;48,5;48,4;48,9;49,42;;32,8;32,7;32,8;33,3;34,5;34,9;35,7;34,9;34,6;34,6;34,4;34,6;34,5;35,0;35,43;;20,2;20,1;20,2;20,5;21,6;22,0;22,7;21,9;21,6;21,7;21,5;21,6;21,6;22,1;22,43;;10,1;10,0;10,1;10,2;11,0;11,2;11,7;11,1;10,9;10,9;10,8;10,8;10,8;11,2;11,47;;7,4;7,4;7,4;7,4;8,1;8,3;8,8;8,2;8,0;8,0;7,9;9,0;7,9;8,2;8,51;;
1200000;"MAŁOPOLSKIE";62,8;62,6;62,8;63,3;63,1;63,2;63,5;63,4;63,5;63,3;63,5;63,6;64,2;65,0;65,39;;48,7;48,6;48,8;49,3;49,0;49,0;49,4;49,4;49,3;49,1;49,4;49,5;50,1;50,9;51,23;;34,7;34,7;35,0;35,4;35,0;35,1;35,4;35,4;35,3;35,1;35,4;35,6;36,1;37,0;37,22;;21,7;21,8;22,1;22,4;22,1;22,2;22,5;22,5;22,4;22,2;22,4;22,5;23,0;23,9;24,06;;10,8;11,1;11,3;11,6;11,4;11,4;11,7;11,7;11,6;11,4;11,4;11,5;11,9;12,6;12,72;;7,9;8,1;8,4;8,6;8,5;8,5;8,8;8,8;8,7;8,5;8,4;8,1;8,9;9,5;9,59;;
1400000;"MAZOWIECKIE";61,6;61,7;61,5;61,9;62,9;63,6;64,5;63,5;63,2;63,1;62,7;63,0;63,9;65,1;65,89;;47,3;47,4;47,3;47,7;48,9;49,5;50,3;49,3;49,1;49,0;48,6;48,9;49,9;51,0;51,65;;33,4;33,4;33,4;33,8;35,0;35,5;36,3;35,3;35,1;35,0;34,8;35,0;35,9;37,0;37,52;;20,6;20,6;20,7;20,9;22,0;22,4;23,1;22,3;22,0;22,0;22,0;22,1;22,8;23,8;24,19;;10,4;10,4;10,4;10,4;11,2;11,4;12,0;11,3;11,1;11,1;11,2;11,2;11,8;12,5;12,72;;7,6;7,6;7,6;7,7;8,3;8,5;9,0;8,4;8,2;8,2;8,3;8,3;8,8;9,4;9,57;;
1600000;"OPOLSKIE";60,9;61,5;62,0;62,3;62,4;62,4;63,0;63,2;63,6;63,5;63,1;63,5;64,7;66,0;65,92;;46,9;47,3;48,0;48,3;48,4;48,4;49,0;49,2;49,5;49,4;49,0;49,3;50,5;51,8;51,64;;33,1;33,5;34,1;34,3;34,4;34,4;35,0;35,2;35,5;35,3;35,1;35,3;36,5;37,6;37,59;;20,2;20,7;21,1;21,2;21,3;21,4;21,9;22,1;22,4;22,3;22,0;22,2;23,3;24,2;24,44;;9,9;10,2;10,4;10,4;10,4;10,5;11,0;11,1;11,5;11,4;11,1;11,2;12,0;12,7;13,12;;7,1;7,4;7,6;7,6;7,5;7,6;8,0;8,2;8,5;8,4;8,2;8,2;9,0;9,6;9,99;;
1800000;"PODKARPACKIE";63,5;63,1;62,7;62,1;61,7;61,3;62,4;63,0;63,1;63,3;62,6;62,6;62,7;63,2;64,01;;49,4;49,1;48,7;48,0;47,6;47,2;48,3;48,9;49,1;49,2;48,6;48,6;48,6;49,2;49,88;;35,4;35,1;34,7;34,0;33,6;33,4;34,4;35,1;35,3;35,3;34,7;34,7;34,8;35,4;35,92;;22,2;22,1;21,7;21,1;20,9;20,8;21,6;22,3;22,3;22,3;21,7;21,8;21,9;22,5;22,90;;11,2;11,1;10,9;10,5;10,3;10,4;11,1;11,6;11,5;11,4;10,9;10,9;11,1;11,5;11,81;;8,2;8,1;8,0;7,6;7,5;7,7;8,3;8,6;8,5;8,5;8,0;8,3;8,1;8,5;8,78;;
2000000;"PODLASKIE";63,5;62,9;62,7;62,0;61,7;61,3;62,3;62,8;62,9;63,2;62,6;62,5;62,7;63,0;63,93;;49,4;49,0;48,6;47,9;47,5;47,2;48,1;48,9;48,9;49,0;48,5;48,4;48,7;49,0;49,85;;35,3;35,0;34,6;33,9;33,6;33,3;34,2;35,0;35,0;35,1;34,6;34,6;34,9;35,3;35,91;;22,2;22,0;21,7;21,1;20,8;20,8;21,5;22,2;22,1;22,2;21,7;21,7;22,0;22,4;22,90;;11,3;11,1;11,0;10,5;10,3;10,5;11,1;11,5;11,3;11,5;11,0;10,9;11,1;11,5;11,83;;8,3;8,1;8,1;7,6;7,6;7,7;8,3;8,7;8,5;8,5;8,1;8,0;8,1;8,6;8,81;;
