"Kod";"Nazwa";"ogółem;kobiety;nowotwór złośliwy sutka;2024;[-]";
0000000;"POLSKA";35,36;
0200000;"DOLNOŚLĄSKIE";34,88;
0400000;"KUJAWSKO-POMORSKIE";38,52;
0600000;"LUBELSKIE";32,21;
0800000;"LUBUSKIE";32,18;
1000000;"ŁÓDZKIE";41,87;
1200000;"MAŁOPOLSKIE";33,74;
1400000;"MAZOWIECKIE";34,16;
1600000;"OPOLSKIE";34,20;
1800000;"PODKARPACKIE";27,09;
2000000;"PODLASKIE";32,75;
2200000;"POMORSKIE";31,46;
2400000;"ŚLĄSKIE";42,63;
2600000;"ŚWIĘTOKRZYSKIE";36,65;
2800000;"WARMIŃSKO-MAZURSKIE";28,71;
3000000;"WIELKOPOLSKIE";37,67;
3200000;"ZACHODNIOPOMORSKIE";34,95;
