"Kod";"Nazwa";"wieś;ogółem;nowotwór złośliwy sutka;2024;[-]";
0000000;"POLSKA";14,63;
0200000;"DOLNOŚLĄSKIE";14,11;
0400000;"KUJAWSKO-POMORSKIE";15,32;
0600000;"LUBELSKIE";13,93;
0800000;"LUBUSKIE";13,73;
1000000;"ŁÓDZKIE";17,44;
1200000;"MAŁOPOLSKIE";14,20;
1400000;"MAZOWIECKIE";13,93;
1600000;"OPOLSKIE";12,94;
1800000;"PODKARPACKIE";12,06;
2000000;"PODLASKIE";14,82;
2200000;"POMORSKIE";12,89;
2400000;"ŚLĄSKIE";18,38;
2600000;"ŚWIĘTOKRZYSKIE";16,62;
2800000;"WARMIŃSKO-MAZURSKIE";12,20;
3000000;"WIELKOPOLSKIE";16,18;
3200000;"ZACHODNIOPOMORSKIE";13,82;
