"Kod";"Nazwa";"miasto;ogółem;nowotwór złośliwy sutka;2024;[-]";
0000000;"POLSKA";21,06;
0200000;"DOLNOŚLĄSKIE";20,19;
0400000;"KUJAWSKO-POMORSKIE";23,56;
0600000;"LUBELSKIE";20,50;
0800000;"LUBUSKIE";18,31;
1000000;"ŁÓDZKIE";24,94;
1200000;"MAŁOPOLSKIE";21,15;
1400000;"MAZOWIECKIE";20,15;
1600000;"OPOLSKIE";22,31;
1800000;"PODKARPACKIE";16,61;
2000000;"PODLASKIE";18,41;
2200000;"POMORSKIE";18,46;
2400000;"ŚLĄSKIE";23,62;
2600000;"ŚWIĘTOKRZYSKIE";22,27;
2800000;"WARMIŃSKO-MAZURSKIE";16,71;
3000000;"WIELKOPOLSKIE";22,47;
3200000;"ZACHODNIOPOMORSKIE";20,34;
