"Kod";"Nazwa";"ogółem;mężczyźni;nowotwór złośliwy sutka;2024;[-]";
0000000;"POLSKA";0,36;
0200000;"DOLNOŚLĄSKIE";0,14;
0400000;"KUJAWSKO-POMORSKIE";0,42;
0600000;"LUBELSKIE";0,72;
0800000;"LUBUSKIE";0,21;
1000000;"ŁÓDZKIE";0,36;
1200000;"MAŁOPOLSKIE";0,30;
1400000;"MAZOWIECKIE";0,34;
1600000;"OPOLSKIE";0,44;
1800000;"PODKARPACKIE";0,20;
2000000;"PODLASKIE";0,36;
2200000;"POMORSKIE";0,35;
2400000;"ŚLĄSKIE";0,43;
2600000;"ŚWIĘTOKRZYSKIE";0,71;
2800000;"WARMIŃSKO-MAZURSKIE";0,30;
3000000;"WIELKOPOLSKIE";0,30;
3200000;"ZACHODNIOPOMORSKIE";0,51;
