"Kod";"Nazwa";"ogółem;ogółem;nowotwór złośliwy sutka;2010;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2011;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2012;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2013;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2014;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2015;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2016;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2017;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2018;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2019;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2020;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2021;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2022;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2023;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2024;[-]";"ogółem;ogółem;nowotwór złośliwy sutka;2025;[-]";
0000000;"POLSKA";13,7;14,3;14,7;15,3;15,7;16,6;17,1;17,5;18,1;18,3;18,4;17,0;17,8;18,1;18,5;;
0200000;"DOLNOŚLĄSKIE";12,9;14,2;14,6;14,8;15,6;17,1;18,3;19,9;20,1;20,1;18,7;15,8;17,7;17,5;18,2;;
0400000;"KUJAWSKO-POMORSKIE";14,6;14,8;15,9;15,9;17,0;16,8;17,4;18,0;20,2;21,7;20,0;17,8;19,0;20,0;20,1;;
0600000;"LUBELSKIE";11,6;11,5;11,1;12,6;14,1;13,2;14,4;15,2;15,4;14,5;14,3;15,0;16,9;15,7;17,0;;
0800000;"LUBUSKIE";14,1;14,2;13,1;16,6;14,3;16,1;15,1;16,6;18,7;17,7;18,8;14,5;16,0;18,2;16,7;;
1000000;"ŁÓDZKIE";16,2;15,9;16,3;17,9;16,6;19,0;18,3;21,5;19,3;20,7;22,4;19,4;20,5;20,6;22,1;;
1200000;"MAŁOPOLSKIE";13,4;14,2;13,4;16,1;13,4;16,3;16,7;15,4;16,6;16,9;16,9;16,2;17,8;17,5;17,5;;
1400000;"MAZOWIECKIE";15,2;15,3;15,8;15,9;16,9;18,5;18,8;19,0;19,2;19,2;19,2;16,4;18,1;18,3;18,0;;
1600000;"OPOLSKIE";12,5;14,4;16,9;15,4;16,0;18,6;14,3;16,9;17,8;14,7;15,1;19,5;17,6;17,8;17,9;;
1800000;"PODKARPACKIE";10,3;10,6;11,6;12,0;11,7;12,5;13,6;11,9;13,0;13,0;14,1;14,3;13,2;12,7;13,9;;
2000000;"PODLASKIE";11,0;13,5;13,7;13,3;14,6;14,2;13,3;13,8;17,1;14,8;17,8;17,2;16,5;17,8;17,0;;
2200000;"POMORSKIE";14,0;14,8;15,9;14,2;16,1;14,2;15,6;15,0;17,3;17,3;14,4;14,5;16,7;16,5;16,4;;
2400000;"ŚLĄSKIE";15,6;16,2;16,3;18,3;18,4;19,7;19,8;20,7;20,3;20,5;21,2;20,8;20,5;22,0;22,4;;
2600000;"ŚWIĘTOKRZYSKIE";13,8;11,9;13,3;13,0;16,2;15,6;16,5;14,7;15,8;15,5;16,3;18,0;17,9;17,0;19,2;;
2800000;"WARMIŃSKO-MAZURSKIE";12,2;13,6;13,3;12,7;12,0;13,2;15,8;14,9;15,0;18,2;18,7;15,0;14,7;13,0;14,9;;
3000000;"WIELKOPOLSKIE";13,6;14,1;14,7;14,4;15,7;16,5;18,5;19,4;20,4;20,1;21,0;18,5;18,4;19,7;19,5;;
3200000;"ZACHODNIOPOMORSKIE";11,5;13,6;14,3;14,9;16,0;15,8;15,2;15,6;16,2;18,3;17,9;16,2;15,6;17,9;18,3;;
