"Kod";"Nazwa";"ogółem;mężczyźni;nowotwór złośliwy sutka;2022;[-]";"ogółem;mężczyźni;nowotwór złośliwy sutka;2023;[-]";"ogółem;mężczyźni;nowotwór złośliwy sutka;2024;[-]";
0200000;"DOLNOŚLĄSKIE";0,43;0,29;0,14;
0400000;"KUJAWSKO-POMORSKIE";0,82;0,31;0,42;
0600000;"LUBELSKIE";0,61;0,41;0,72;
0800000;"LUBUSKIE";0,42;1,05;0,21;
1000000;"ŁÓDZKIE";0,53;0,44;0,36;
1200000;"MAŁOPOLSKIE";0,54;0,30;0,30;
1400000;"MAZOWIECKIE";0,87;0,38;0,34;
1600000;"OPOLSKIE";0,00;0,22;0,44;
1800000;"PODKARPACKIE";0,39;0,30;0,20;
2000000;"PODLASKIE";0,90;0,36;0,36;
2200000;"POMORSKIE";0,44;0,35;0,35;
2400000;"ŚLĄSKIE";0,52;0,34;0,43;
2600000;"ŚWIĘTOKRZYSKIE";0,52;0,53;0,71;
2800000;"WARMIŃSKO-MAZURSKIE";0,15;0,75;0,30;
3000000;"WIELKOPOLSKIE";0,65;0,41;0,30;
3200000;"ZACHODNIOPOMORSKIE";0,50;0,25;0,51;
