"obszar","rok","wspolczynnik"
"POLSKA",2010,13.7
"POLSKA",2011,14.3
"POLSKA",2012,14.7
"POLSKA",2013,15.3
"POLSKA",2014,15.7
"POLSKA",2015,16.6
"POLSKA",2016,17.1
"POLSKA",2017,17.5
"POLSKA",2018,18.1
"POLSKA",2019,18.3
"POLSKA",2020,18.4
"POLSKA",2021,17
"POLSKA",2022,17.8
"POLSKA",2023,18.1
"POLSKA",2024,18.5
"POLSKA",2025,NA
"DOLNOŚLĄSKIE",2010,12.9
"DOLNOŚLĄSKIE",2011,14.2
"DOLNOŚLĄSKIE",2012,14.6
"DOLNOŚLĄSKIE",2013,14.8
"DOLNOŚLĄSKIE",2014,15.6
"DOLNOŚLĄSKIE",2015,17.1
"DOLNOŚLĄSKIE",2016,18.3
"DOLNOŚLĄSKIE",2017,19.9
"DOLNOŚLĄSKIE",2018,20.1
"DOLNOŚLĄSKIE",2019,20.1
"DOLNOŚLĄSKIE",2020,18.7
"DOLNOŚLĄSKIE",2021,15.8
"DOLNOŚLĄSKIE",2022,17.7
"DOLNOŚLĄSKIE",2023,17.5
"DOLNOŚLĄSKIE",2024,18.2
"DOLNOŚLĄSKIE",2025,NA
"KUJAWSKO-POMORSKIE",2010,14.6
"KUJAWSKO-POMORSKIE",2011,14.8
"KUJAWSKO-POMORSKIE",2012,15.9
"KUJAWSKO-POMORSKIE",2013,15.9
"KUJAWSKO-POMORSKIE",2014,17
"KUJAWSKO-POMORSKIE",2015,16.8
"KUJAWSKO-POMORSKIE",2016,17.4
"KUJAWSKO-POMORSKIE",2017,18
"KUJAWSKO-POMORSKIE",2018,20.2
"KUJAWSKO-POMORSKIE",2019,21.7
"KUJAWSKO-POMORSKIE",2020,20
"KUJAWSKO-POMORSKIE",2021,17.8
"KUJAWSKO-POMORSKIE",2022,19
"KUJAWSKO-POMORSKIE",2023,20
"KUJAWSKO-POMORSKIE",2024,20.1
"KUJAWSKO-POMORSKIE",2025,NA
"LUBELSKIE",2010,11.6
"LUBELSKIE",2011,11.5
"LUBELSKIE",2012,11.1
"LUBELSKIE",2013,12.6
"LUBELSKIE",2014,14.1
"LUBELSKIE",2015,13.2
"LUBELSKIE",2016,14.4
"LUBELSKIE",2017,15.2
"LUBELSKIE",2018,15.4
"LUBELSKIE",2019,14.5
"LUBELSKIE",2020,14.3
"LUBELSKIE",2021,15
"LUBELSKIE",2022,16.9
"LUBELSKIE",2023,15.7
"LUBELSKIE",2024,17
"LUBELSKIE",2025,NA
"LUBUSKIE",2010,14.1
"LUBUSKIE",2011,14.2
"LUBUSKIE",2012,13.1
"LUBUSKIE",2013,16.6
"LUBUSKIE",2014,14.3
"LUBUSKIE",2015,16.1
"LUBUSKIE",2016,15.1
"LUBUSKIE",2017,16.6
"LUBUSKIE",2018,18.7
"LUBUSKIE",2019,17.7
"LUBUSKIE",2020,18.8
"LUBUSKIE",2021,14.5
"LUBUSKIE",2022,16
"LUBUSKIE",2023,18.2
"LUBUSKIE",2024,16.7
"LUBUSKIE",2025,NA
"ŁÓDZKIE",2010,16.2
"ŁÓDZKIE",2011,15.9
"ŁÓDZKIE",2012,16.3
"ŁÓDZKIE",2013,17.9
"ŁÓDZKIE",2014,16.6
"ŁÓDZKIE",2015,19
"ŁÓDZKIE",2016,18.3
"ŁÓDZKIE",2017,21.5
"ŁÓDZKIE",2018,19.3
"ŁÓDZKIE",2019,20.7
"ŁÓDZKIE",2020,22.4
"ŁÓDZKIE",2021,19.4
"ŁÓDZKIE",2022,20.5
"ŁÓDZKIE",2023,20.6
"ŁÓDZKIE",2024,22.1
"ŁÓDZKIE",2025,NA
"MAŁOPOLSKIE",2010,13.4
"MAŁOPOLSKIE",2011,14.2
"MAŁOPOLSKIE",2012,13.4
"MAŁOPOLSKIE",2013,16.1
"MAŁOPOLSKIE",2014,13.4
"MAŁOPOLSKIE",2015,16.3
"MAŁOPOLSKIE",2016,16.7
"MAŁOPOLSKIE",2017,15.4
"MAŁOPOLSKIE",2018,16.6
"MAŁOPOLSKIE",2019,16.9
"MAŁOPOLSKIE",2020,16.9
"MAŁOPOLSKIE",2021,16.2
"MAŁOPOLSKIE",2022,17.8
"MAŁOPOLSKIE",2023,17.5
"MAŁOPOLSKIE",2024,17.5
"MAŁOPOLSKIE",2025,NA
"MAZOWIECKIE",2010,15.2
"MAZOWIECKIE",2011,15.3
"MAZOWIECKIE",2012,15.8
"MAZOWIECKIE",2013,15.9
"MAZOWIECKIE",2014,16.9
"MAZOWIECKIE",2015,18.5
"MAZOWIECKIE",2016,18.8
"MAZOWIECKIE",2017,19
"MAZOWIECKIE",2018,19.2
"MAZOWIECKIE",2019,19.2
"MAZOWIECKIE",2020,19.2
"MAZOWIECKIE",2021,16.4
"MAZOWIECKIE",2022,18.1
"MAZOWIECKIE",2023,18.3
"MAZOWIECKIE",2024,18
"MAZOWIECKIE",2025,NA
"OPOLSKIE",2010,12.5
"OPOLSKIE",2011,14.4
"OPOLSKIE",2012,16.9
"OPOLSKIE",2013,15.4
"OPOLSKIE",2014,16
"OPOLSKIE",2015,18.6
"OPOLSKIE",2016,14.3
"OPOLSKIE",2017,16.9
"OPOLSKIE",2018,17.8
"OPOLSKIE",2019,14.7
"OPOLSKIE",2020,15.1
"OPOLSKIE",2021,19.5
"OPOLSKIE",2022,17.6
"OPOLSKIE",2023,17.8
"OPOLSKIE",2024,17.9
"OPOLSKIE",2025,NA
"PODKARPACKIE",2010,10.3
"PODKARPACKIE",2011,10.6
"PODKARPACKIE",2012,11.6
"PODKARPACKIE",2013,12
"PODKARPACKIE",2014,11.7
"PODKARPACKIE",2015,12.5
"PODKARPACKIE",2016,13.6
"PODKARPACKIE",2017,11.9
"PODKARPACKIE",2018,13
"PODKARPACKIE",2019,13
"PODKARPACKIE",2020,14.1
"PODKARPACKIE",2021,14.3
"PODKARPACKIE",2022,13.2
"PODKARPACKIE",2023,12.7
"PODKARPACKIE",2024,13.9
"PODKARPACKIE",2025,NA
"PODLASKIE",2010,11
"PODLASKIE",2011,13.5
"PODLASKIE",2012,13.7
"PODLASKIE",2013,13.3
"PODLASKIE",2014,14.6
"PODLASKIE",2015,14.2
"PODLASKIE",2016,13.3
"PODLASKIE",2017,13.8
"PODLASKIE",2018,17.1
"PODLASKIE",2019,14.8
"PODLASKIE",2020,17.8
"PODLASKIE",2021,17.2
"PODLASKIE",2022,16.5
"PODLASKIE",2023,17.8
"PODLASKIE",2024,17
"PODLASKIE",2025,NA
"POMORSKIE",2010,14
"POMORSKIE",2011,14.8
"POMORSKIE",2012,15.9
"POMORSKIE",2013,14.2
"POMORSKIE",2014,16.1
"POMORSKIE",2015,14.2
"POMORSKIE",2016,15.6
"POMORSKIE",2017,15
"POMORSKIE",2018,17.3
"POMORSKIE",2019,17.3
"POMORSKIE",2020,14.4
"POMORSKIE",2021,14.5
"POMORSKIE",2022,16.7
"POMORSKIE",2023,16.5
"POMORSKIE",2024,16.4
"POMORSKIE",2025,NA
"ŚLĄSKIE",2010,15.6
"ŚLĄSKIE",2011,16.2
"ŚLĄSKIE",2012,16.3
"ŚLĄSKIE",2013,18.3
"ŚLĄSKIE",2014,18.4
"ŚLĄSKIE",2015,19.7
"ŚLĄSKIE",2016,19.8
"ŚLĄSKIE",2017,20.7
"ŚLĄSKIE",2018,20.3
"ŚLĄSKIE",2019,20.5
"ŚLĄSKIE",2020,21.2
"ŚLĄSKIE",2021,20.8
"ŚLĄSKIE",2022,20.5
"ŚLĄSKIE",2023,22
"ŚLĄSKIE",2024,22.4
"ŚLĄSKIE",2025,NA
"ŚWIĘTOKRZYSKIE",2010,13.8
"ŚWIĘTOKRZYSKIE",2011,11.9
"ŚWIĘTOKRZYSKIE",2012,13.3
"ŚWIĘTOKRZYSKIE",2013,13
"ŚWIĘTOKRZYSKIE",2014,16.2
"ŚWIĘTOKRZYSKIE",2015,15.6
"ŚWIĘTOKRZYSKIE",2016,16.5
"ŚWIĘTOKRZYSKIE",2017,14.7
"ŚWIĘTOKRZYSKIE",2018,15.8
"ŚWIĘTOKRZYSKIE",2019,15.5
"ŚWIĘTOKRZYSKIE",2020,16.3
"ŚWIĘTOKRZYSKIE",2021,18
"ŚWIĘTOKRZYSKIE",2022,17.9
"ŚWIĘTOKRZYSKIE",2023,17
"ŚWIĘTOKRZYSKIE",2024,19.2
"ŚWIĘTOKRZYSKIE",2025,NA
"WARMIŃSKO-MAZURSKIE",2010,12.2
"WARMIŃSKO-MAZURSKIE",2011,13.6
"WARMIŃSKO-MAZURSKIE",2012,13.3
"WARMIŃSKO-MAZURSKIE",2013,12.7
"WARMIŃSKO-MAZURSKIE",2014,12
"WARMIŃSKO-MAZURSKIE",2015,13.2
"WARMIŃSKO-MAZURSKIE",2016,15.8
"WARMIŃSKO-MAZURSKIE",2017,14.9
"WARMIŃSKO-MAZURSKIE",2018,15
"WARMIŃSKO-MAZURSKIE",2019,18.2
"WARMIŃSKO-MAZURSKIE",2020,18.7
"WARMIŃSKO-MAZURSKIE",2021,15
"WARMIŃSKO-MAZURSKIE",2022,14.7
"WARMIŃSKO-MAZURSKIE",2023,13
"WARMIŃSKO-MAZURSKIE",2024,14.9
"WARMIŃSKO-MAZURSKIE",2025,NA
"WIELKOPOLSKIE",2010,13.6
"WIELKOPOLSKIE",2011,14.1
"WIELKOPOLSKIE",2012,14.7
"WIELKOPOLSKIE",2013,14.4
"WIELKOPOLSKIE",2014,15.7
"WIELKOPOLSKIE",2015,16.5
"WIELKOPOLSKIE",2016,18.5
"WIELKOPOLSKIE",2017,19.4
"WIELKOPOLSKIE",2018,20.4
"WIELKOPOLSKIE",2019,20.1
"WIELKOPOLSKIE",2020,21
"WIELKOPOLSKIE",2021,18.5
"WIELKOPOLSKIE",2022,18.4
"WIELKOPOLSKIE",2023,19.7
"WIELKOPOLSKIE",2024,19.5
"WIELKOPOLSKIE",2025,NA
"ZACHODNIOPOMORSKIE",2010,11.5
"ZACHODNIOPOMORSKIE",2011,13.6
"ZACHODNIOPOMORSKIE",2012,14.3
"ZACHODNIOPOMORSKIE",2013,14.9
"ZACHODNIOPOMORSKIE",2014,16
"ZACHODNIOPOMORSKIE",2015,15.8
"ZACHODNIOPOMORSKIE",2016,15.2
"ZACHODNIOPOMORSKIE",2017,15.6
"ZACHODNIOPOMORSKIE",2018,16.2
"ZACHODNIOPOMORSKIE",2019,18.3
"ZACHODNIOPOMORSKIE",2020,17.9
"ZACHODNIOPOMORSKIE",2021,16.2
"ZACHODNIOPOMORSKIE",2022,15.6
"ZACHODNIOPOMORSKIE",2023,17.9
"ZACHODNIOPOMORSKIE",2024,18.3
"ZACHODNIOPOMORSKIE",2025,NA
