"Region","00-04","05-09","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"Łódzkie","4.75","0.87","3.19","1.83","3.58","9.04","13.44","20.88","39.59","83.05","147.76","233.00","471.55","675.22","894.90","1152.88","1320.61","1315.27"
"Małopolskie","6.67","1.60","1.03","2.39","4.95","9.40","12.48","19.78","31.02","69.34","124.65","223.30","403.12","637.33","912.12","1218.13","1625.89","1999.28"
"Mazowieckie","4.87","3.60","2.56","3.80","1.51","6.00","9.28","21.90","33.98","62.27","126.07","251.79","419.47","634.50","921.35","1104.40","1468.17","1545.57"
"Opolskie","0.00","4.49","0.00","0.00","4.58","1.95","13.60","20.48","24.69","81.09","114.69","223.84","483.35","657.20","880.82","1171.76","1334.33","1932.80"
"Podkarpackie","0.98","1.83","2.57","3.78","2.69","4.82","7.26","12.37","28.38","63.02","116.03","190.49","346.64","547.09","729.16","969.66","1126.26","1278.63"
"Podlaskie","5.45","3.40","3.25","3.64","5.19","7.36","12.28","15.02","19.35","72.52","118.92","201.41","379.95","593.72","758.00","950.08","1415.40","1606.73"
"Pomorskie","3.21","0.76","1.45","1.71","9.13","6.73","11.15","25.08","24.64","60.52","130.23","269.66","418.47","745.42","1015.17","1274.23","1573.39","1777.14"
"Śląskie","2.08","1.84","2.16","3.59","3.07","5.99","13.20","17.00","39.96","68.16","136.92","287.12","486.66","691.83","956.43","1235.55","1441.25","1482.53"
"Świętokrzyskie","2.03","1.81","4.81","1.79","5.18","7.72","9.13","22.73","28.78","72.20","125.59","315.75","424.74","590.10","868.75","1066.23","1513.87","1986.23"
"Warmińsko-Mazurskie","0.00","2.85","2.56","1.44","7.24","2.57","8.52","17.66","31.41","53.16","135.73","239.91","473.56","709.82","935.60","1218.68","1433.25","1407.52"
"Wielkopolskie","2.22","1.03","1.97","2.30","5.03","5.61","11.72","15.25","35.05","70.93","145.62","274.84","446.81","662.74","903.71","1224.72","1463.82","1510.87"
"Zachodniopomorskie","1.42","4.96","2.29","3.91","7.78","6.47","8.98","19.86","34.00","58.48","134.37","258.10","482.34","685.70","904.11","1172.84","1465.28","1517.03"
"Dolnośląskie","3.06","1.40","1.33","3.99","5.99","6.32","11.81","18.63","35.50","62.22","136.48","269.20","461.50","679.99","950.82","1252.24","1477.25","1686.97"
"Kujawsko-Pomorskie","0.00","4.86","0.88","2.03","5.01","6.90","15.20","19.46","43.86","66.13","124.87","270.45","457.50","727.71","991.49","1235.93","1460.60","1495.65"
"Lubelskie","2.17","2.96","3.58","1.97","3.78","5.99","14.63","19.37","40.25","65.19","126.31","224.62","406.77","594.28","877.02","993.22","1249.53","1340.12"
"Lubuskie","6.90","1.98","3.59","0.00","4.28","9.27","3.01","19.19","40.57","60.76","125.67","276.44","477.11","633.47","872.44","1047.84","1155.94","1458.23"
