"Region","00-04","05-09","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"Łódzkie","13.31","17.40","24.75","32.90","43.85","60.28","112.63","148.83","206.30","287.61","463.73","612.67","877.29","1209.74","1505.00","1698.80","1407.68","1114.45"
"Małopolskie","13.34","15.99","6.72","25.74","41.79","58.17","98.34","136.02","178.08","260.72","421.70","638.21","942.37","1323.27","1634.70","1773.92","1660.14","1431.62"
"Mazowieckie","12.16","11.46","12.15","17.84","34.43","60.01","93.07","126.37","189.98","278.18","408.52","582.96","867.02","1222.29","1588.74","1808.55","1565.24","1267.79"
"Opolskie","17.30","6.73","8.55","14.48","16.03","42.99","72.55","107.54","170.21","215.30","345.65","616.73","930.19","1300.29","1632.22","1990.54","1674.13","1521.67"
"Podkarpackie","26.53","11.91","18.85","21.73","41.27","66.65","90.40","117.77","162.44","280.98","387.51","610.36","939.08","1342.58","1702.03","1893.54","1554.15","1416.67"
"Podlaskie","23.60","13.61","13.00","25.51","34.60","58.85","124.05","145.95","193.47","328.16","462.16","671.37","1035.55","1516.83","1804.07","2100.79","1846.98","1488.64"
"Pomorskie","22.50","12.88","18.83","23.98","34.04","64.62","80.82","124.41","177.23","277.22","452.94","667.26","1023.00","1610.32","1989.01","2267.43","2055.81","1639.57"
"Śląskie","16.10","10.59","11.67","21.55","36.31","58.63","83.27","113.13","175.27","270.19","400.33","601.50","926.34","1352.00","1669.34","1899.64","1622.77","1267.04"
"Świętokrzyskie","12.20","18.09","14.43","14.36","31.05","57.11","88.69","119.08","163.10","279.64","424.87","684.81","1028.50","1473.50","1869.40","2109.93","1782.68","1345.96"
"Warmińsko-Mazurskie","6.48","7.14","6.39","12.93","36.18","69.41","89.44","120.98","183.98","249.07","402.51","596.31","1019.13","1433.53","1834.94","1867.88","1707.71","1275.69"
"Wielkopolskie","22.16","9.81","14.25","31.10","31.88","59.79","89.06","133.87","191.56","292.55","463.72","702.09","987.93","1403.79","1750.60","2130.73","1931.93","1643.17"
"Zachodniopomorskie","38.46","12.41","17.15","20.83","40.19","80.88","93.39","141.21","193.15","268.69","436.70","609.12","927.05","1356.60","1750.25","1905.08","1616.44","1277.82"
"Dolnośląskie","22.94","10.52","17.98","13.56","34.43","60.92","97.77","102.26","173.48","265.81","405.30","577.65","835.82","1309.06","1685.84","2006.26","1827.61","1338.66"
"Kujawsko-Pomorskie","25.97","11.67","14.15","21.30","37.04","93.16","145.47","161.15","239.07","317.44","464.15","706.63","1063.15","1517.83","1921.46","2195.54","1896.35","1416.80"
"Lubelskie","8.68","7.88","14.33","15.75","27.37","53.95","71.69","107.49","192.44","276.37","461.59","610.13","963.99","1354.61","1734.91","1981.89","1660.45","1199.39"
"Lubuskie","29.91","15.82","12.56","27.15","36.41","48.20","58.77","77.95","174.21","248.34","392.08","544.20","805.40","1127.93","1465.91","1669.88","1281.35","1029.67"
